GEOID,NAME,WHITE,BLACK OR AFRICAN AMERICAN,AMERICAN INDIAN,ASIAN OR PACIFIC ISLANDER
51001,"Accomack County, Virginia",0.68711635636043,0.29402787669142333,0.010072235222301353,0.008783531725845287
51005,"Alleghany County, Virginia",0.9468092398382343,0.04667900472959079,0.001850709438618137,0.004661045993556789
51007,"Amelia County, Virginia",0.7862368357585015,0.20540236353404615,0.003135300265294638,0.00522550044215773
51011,"Appomattox County, Virginia",0.8034871525957,0.1896958573675931,0.0033429470372312534,0.003474042999475616
51013,"Arlington County, Virginia",0.7438830209351976,0.10687753754153505,0.00801261538934143,0.1412268261339259
51017,"Bath County, Virginia",0.9647147147147147,0.02902902902902903,0.0015015015015015015,0.004754754754754755
51019,"Bedford County, Virginia",0.917968645674759,0.06576663194722646,0.0028176161098202603,0.013447106268194321
51023,"Botetourt County, Virginia",0.96161559190324,0.028764805414551606,0.0021933947483862883,0.007426207933822147
51025,"Brunswick County, Virginia",0.4302127100840336,0.5650603991596639,0.0015099789915966387,0.0032169117647058826
51029,"Buckingham County, Virginia",0.6538653366583541,0.33884039900249374,0.0031795511221945137,0.004114713216957606
51031,"Campbell County, Virginia",0.8336701114254373,0.15072262956334315,0.0036949367819409966,0.011912322229278524
51035,"Carroll County, Virginia",0.988933236574746,0.006132075471698114,0.0019230769230769232,0.003011611030478955
51036,"Charles City County, Virginia",0.4764002517306482,0.4461925739458779,0.07048458149779736,0.006922592825676526
51037,"Charlotte County, Virginia",0.7069439355075119,0.287651154268963,0.002015390252839868,0.003389519970685233
51043,"Clarke County, Virginia",0.9358176501462098,0.04333808202744245,0.003823948414186099,0.017020319412161655
51045,"Craig County, Virginia",0.9931696905016009,0.002774813233724653,0.0010672358591248667,0.0029882604055496264
51049,"Cumberland County, Virginia",0.6785910842047331,0.31161254815630157,0.0047330764997248215,0.005063291139240506
51051,"Dickenson County, Virginia",0.99327110918168,0.003545329570942768,0.0016641342884017075,0.001519426958975472
51057,"Essex County, Virginia",0.6027341772151898,0.3822784810126582,0.00840506329113924,0.006582278481012658
51059,"Fairfax County, Virginia",0.6169332935787277,0.12022768546878812,0.00704740736725124,0.25579161358523295
51063,"Floyd County, Virginia",0.9783266822622816,0.016788220723820007,0.001376083665886886,0.0035090133480115593
51065,"Fluvanna County, Virginia",0.838873149515183,0.1488368381149994,0.003152308367583097,0.009137704002234548
51069,"Frederick County, Virginia",0.9274082670063951,0.04689766520768426,0.003973309451431022,0.02172075833448959
51071,"Giles County, Virginia",0.9783579312910827,0.015130844598784571,0.0021083963785191616,0.004402827731613543
51075,"Goochland County, Virginia",0.8341039713063394,0.14117799576509227,0.0032410008210535415,0.021477032107514803
51077,"Grayson County, Virginia",0.9337465564738292,0.06225895316804408,0.0022038567493112946,0.001790633608815427
51081,"Greensville County, Virginia",0.39372067845543124,0.6005954529050884,0.0027066041140382533,0.0029772645254420786
51083,"Halifax County, Virginia",0.6280757874015748,0.362666092519685,0.0023683562992125986,0.006889763779527559
51087,"Henrico County, Virginia",0.5650564390891601,0.32306535941219905,0.004430360885674835,0.10744784061296593
51089,"Henry County, Virginia",0.7507874268817896,0.2391206530822138,0.0035353859998714407,0.006556534036125217
51093,"Isle of Wight County, Virginia",0.7425800355713651,0.24066251667407737,0.0046131614050689196,0.012144286349488661
51095,"James City County, Virginia",0.8205135496346007,0.14257684761281883,0.00390991554582421,0.032999687206756334
51097,"King and Queen County, Virginia",0.7268900760887163,0.2543305811882791,0.014570179698882952,0.004209163024121742
51099,"King George County, Virginia",0.8059091292253224,0.16787490516732698,0.008008092388097446,0.018207873219253143
51101,"King William County, Virginia",0.8182418241824182,0.15607560756075609,0.01728172817281728,0.0084008400840084
51103,"Lancaster County, Virginia",0.7097908745247148,0.28051330798479085,0.0022813688212927757,0.007414448669201521
51105,"Lee County, Virginia",0.953776828021927,0.041113072563411686,0.003298336894917774,0.0018117625197435659
51107,"Loudoun County, Virginia",0.6490409747074671,0.08779720018611811,0.004543809562105433,0.25861801554430935
51109,"Louisa County, Virginia",0.8314480290875512,0.1560570208345357,0.004559358227044497,0.007935591850868586
51111,"Lunenburg County, Virginia",0.6469408224674023,0.34694994073128477,0.0031913923588948664,0.0029178444424181635
51113,"Madison County, Virginia",0.9088363410080896,0.08284069695084008,0.0012445550715619166,0.0070784069695084
51115,"Mathews County, Virginia",0.9074511755193432,0.08209976365219554,0.002114690881950491,0.00833436994651076
51117,"Mecklenburg County, Virginia",0.627265453786482,0.3629943994155912,0.0026089678923018056,0.007131178905624935
51119,"Middlesex County, Virginia",0.8412682536507301,0.15233046609321865,0.0033006601320264054,0.003100620124024805
51121,"Montgomery County, Virginia",0.8614964156734304,0.04517010639105491,0.0022449488650536295,0.09108852907046103
51125,"Nelson County, Virginia",0.878407014979905,0.1123858238947753,0.004092071611253197,0.005115089514066497
51127,"New Kent County, Virginia",0.848497692380145,0.12899124046340774,0.011632287840256193,0.010878779316191016
51131,"Northampton County, Virginia",0.6410116943160185,0.343123923488351,0.007705557066449098,0.008158825129181398
51133,"Northumberland County, Virginia",0.7500448269679039,0.2411690873229335,0.002599964138425677,0.006186121570736955
51135,"Nottoway County, Virginia",0.5911583276216587,0.3984235777930089,0.005825908156271419,0.004592186429061
51137,"Orange County, Virginia",0.8505308762509153,0.13314620453990725,0.005857944837686112,0.010464974371491334
51139,"Page County, Virginia",0.9727212535864048,0.019377620834252925,0.0022511586846170823,0.005649966894725226
51141,"Patrick County, Virginia",0.9445946758007331,0.05047773571299802,0.002163331530557058,0.0027642569557117963
51145,"Powhatan County, Virginia",0.9030673124166492,0.08791324489366183,0.002246086895486769,0.006773355794202288
51147,"Prince Edward County, Virginia",0.5287379122241508,0.4596578229605753,0.0017852715100421523,0.009818993305231838
51149,"Prince George County, Virginia",0.6257583318013499,0.34057304934737503,0.007248470205110697,0.026420148646164352
51155,"Pulaski County, Virginia",0.9398793818318885,0.05207940696067345,0.002167357708254806,0.0058738534991833145
51157,"Rappahannock County, Virginia",0.9582659808963997,0.029390154298310066,0.002645113886847906,0.009698750918442323
51161,"Roanoke County, Virginia",0.8948412039037142,0.0638507637942685,0.002691834767870792,0.03861619753414642
51163,"Rockbridge County, Virginia",0.9594809818249953,0.026934607457373055,0.004403222784335769,0.00918118793329586
51167,"Russell County, Virginia",0.9884183714081032,0.009114065111836345,7.561888084056356e-4,0.0017113746716548594
51169,"Scott County, Virginia",0.99053521668108,0.00643797444028058,0.0014893821466320746,0.0015374267320073028
51173,"Smyth County, Virginia",0.9798344672792313,0.015080311425966192,0.001402819667531739,0.003682401627270814
51175,"Southampton County, Virginia",0.6456500203950819,0.3452013285939048,0.0039042013868655673,0.005244449624147777
51179,"Stafford County, Virginia",0.7033199061918082,0.23685789305554472,0.009045789928864718,0.0507764108237824
51181,"Surry County, Virginia",0.559967845659164,0.43311897106109326,0.003054662379421222,0.0038585209003215433
51185,"Tazewell County, Virginia",0.9676155115511551,0.02493296204620462,0.0015212458745874587,0.005930280528052806
51187,"Warren County, Virginia",0.9340975768771053,0.04764750624796262,0.005025535151581006,0.01322938172335108
51193,"Westmoreland County, Virginia",0.7163597096406503,0.2694222808806767,0.00467934489171516,0.009538664586957825
51195,"Wise County, Virginia",0.9419419706980753,0.05176673369721344,0.001580005745475438,0.004711289859235852
51199,"York County, Virginia",0.779801538560993,0.14432089986424462,0.004169629581744133,0.0717079319930183
51510,"Alexandria city, Virginia",0.6494784257942152,0.25211790738106526,0.007934250039513197,0.09046941678520626
51530,"Buena Vista city, Virginia",0.93622573805252,0.047137497961180885,0.007992170934594683,0.008644593051704452
51540,"Charlottesville city, Virginia",0.7270636156703008,0.17064813705522944,0.003929555528932551,0.09835869174553731
51570,"Colonial Heights city, Virginia",0.780939448182211,0.17992716498981545,0.002592432565890994,0.036540954262082585
51580,"Covington city, Virginia",0.8549319410777549,0.13388029088196904,0.00428864441543912,0.0068991236248368455
51590,"Danville city, Virginia",0.4332613824607198,0.549144119271121,0.004668440339340395,0.012926057928818834
51600,"Fairfax city, Virginia",0.6992422669711439,0.05724517334440523,0.007525430766036952,0.23598712891841395
51610,"Falls Church city, Virginia",0.8283491368830538,0.046681254558716266,0.0025934030310397925,0.12237620552719021
51630,"Fredericksburg city, Virginia",0.6739416585283002,0.2604984926330092,0.007642987558914696,0.05791686127977581
51640,"Galax city, Virginia",0.9203306366514246,0.0645444952514949,0.00580372845585649,0.009321139641224059
51660,"Harrisonburg city, Virginia",0.8353482162723429,0.10427946302751613,0.0073425795446117334,0.053029741155529185
51670,"Hopewell city, Virginia",0.49764451859848857,0.4834625576602218,0.005447050740995191,0.013445873000294435
51680,"Lynchburg city, Virginia",0.6735921116589125,0.2979376432192209,0.0033747656412749113,0.025095479480591626
51683,"Manassas city, Virginia",0.664903348977806,0.20380240235462574,0.02131890859915679,0.10997534006841142
51690,"Martinsville city, Virginia",0.4860518542829012,0.5,0.004102395799146702,0.009845749917952083
51700,"Newport News city, Virginia",0.4635381750465549,0.4884357541899441,0.005834885164494103,0.04219118559900683
51720,"Norton city, Virginia",0.9375361480624639,0.05205320994794679,0.002313475997686524,0.008097165991902834
51730,"Petersburg city, Virginia",0.17624670635307896,0.8070980124264012,0.004586708304869718,0.01206857291565011
51740,"Portsmouth city, Virginia",0.39898175835658467,0.5804199690970331,0.004746606787536544,0.015851665758845696
51750,"Radford city, Virginia",0.833955857385399,0.14818336162988116,0.0027164685908319186,0.015144312393887945
51770,"Roanoke city, Virginia",0.6532354583898508,0.3131162302948787,0.004775962886550934,0.02887234842871961
51775,"Salem city, Virginia",0.8914784831700042,0.08304218150830849,0.0020451640391989773,0.023434171282488283
51790,"Staunton city, Virginia",0.8576461100971945,0.12457026442001613,0.003565213700606935,0.01421841178218242
51800,"Suffolk city, Virginia",0.5167361841269108,0.458711250274411,0.003963072941339588,0.020589492657338615
51810,"Virginia Beach city, Virginia",0.6949766934320571,0.21295551198463336,0.004718614610764122,0.08734917997254533
51820,"Waynesboro city, Virginia",0.8465981700148238,0.13658436845064664,0.0021980268874916935,0.014619434647037775
51830,"Williamsburg city, Virginia",0.5472284454722844,0.41186673411866737,0.0029630700296307,0.03794175037941751
51840,"Winchester city, Virginia",0.8265789117792904,0.12915295496551413,0.011495289185412252,0.03277284406978316
51003,"Albemarle County, Virginia",0.8155852436315092,0.09915618119688774,0.0028492582962232386,0.08240931687537982
51009,"Amherst County, Virginia",0.7982788296041308,0.18588640275387264,0.008640275387263339,0.007194492254733218
51015,"Augusta County, Virginia",0.947916809476152,0.04271945819223756,0.002536296458781755,0.006827435872828725
51021,"Bland County, Virginia",0.9710695982807076,0.027938502231773847,0,9.91899487518598e-4
51027,"Buchanan County, Virginia",0.9655776254565468,0.030920098063741432,7.504878170811027e-4,0.00275178866263071
51033,"Caroline County, Virginia",0.7009448072082588,0.2816546893809506,0.0060555211031262535,0.011344982307664248
51041,"Chesterfield County, Virginia",0.6879080965723864,0.2643209495669763,0.005053797981661297,0.04271715587897601
51047,"Culpeper County, Virginia",0.8235857882846906,0.1498528170138968,0.008328959678707528,0.01823243502270497
51053,"Dinwiddie County, Virginia",0.6750684086792308,0.31514240567310287,0.00481751262188307,0.004971673025783328
51061,"Fauquier County, Virginia",0.894495050755411,0.08037194322971757,0.004925563992864247,0.020207442022007166
51067,"Franklin County, Virginia",0.9138619286161553,0.07672589229805886,0.002876487163431434,0.006535691922354415
51073,"Gloucester County, Virginia",0.9088511712722682,0.07723383363725628,0.004292327114602329,0.009622667975873193
51079,"Greene County, Virginia",0.8947624979689108,0.07837296214049722,0.0017873585007853545,0.025077181389806642
51085,"Hanover County, Virginia",0.8796769165923326,0.09614083927188606,0.003911112853740063,0.02027113128204123
51091,"Highland County, Virginia",0.9944108057755007,9.315323707498836e-4,0.0013972985561248254,0.0032603632976245926
51143,"Pittsylvania County, Virginia",0.775932745084416,0.21567776002223302,0.0029354547349405963,0.005454040158410338
51153,"Prince William County, Virginia",0.5693021172615352,0.27626450319899537,0.01010582055577761,0.1443275589836918
51159,"Richmond County, Virginia",0.6968188440990772,0.296138902379796,0.001942690626517727,0.005099562894609034
51165,"Rockingham County, Virginia",0.9587627505575276,0.024887504783520937,0.003840012668083029,0.012509731990868423
51171,"Shenandoah County, Virginia",0.9587760946567186,0.027306755093325294,0.004973999547818223,0.008943150702137814
51177,"Spotsylvania County, Virginia",0.7650245887739529,0.1944463286416822,0.005723249109716805,0.03480583347464812
51183,"Sussex County, Virginia",0.43601666182311344,0.5600116245277535,0.0017436791630340018,0.0022280344860990025
51191,"Washington County, Virginia",0.9786259541984733,0.012793506618997004,0.002048507102135472,0.006532032080394241
51197,"Wythe County, Virginia",0.9671755443019259,0.02613388533619192,0.0022548331053857244,0.0044357372564965076
51520,"Bristol city, Virginia",0.9205141003244323,0.06557274769153981,0.0035562765160968303,0.01035687546793112
51550,"Chesapeake city, Virginia",0.6274381993175964,0.3248744656078472,0.005277614194714294,0.04240972087984212
51595,"Emporia city, Virginia",0.2923688695322855,0.6921037682257148,0.0043552357508047715,0.01117212649119485
51620,"Franklin city, Virginia",0.3872795159006051,0.5972705034118707,0.0043774945281318395,0.011072486159392301
51650,"Hampton city, Virginia",0.41434617594458334,0.5495941670105929,0.005235771568222832,0.030823885476600876
51678,"Lexington city, Virginia",0.889406286379511,0.06679278230500582,0.002910360884749709,0.04089057043073341
51685,"Manassas Park city, Virginia",0.5710306406685237,0.22036521200866604,0.01795109873104302,0.19065304859176724
51710,"Norfolk city, Virginia",0.4913357762924671,0.4567123248403079,0.006344686563884018,0.04560721230334099
51735,"Poquoson city, Virginia",0.9624053607170829,0.010442955356365852,0.0035680097467583327,0.02358367417979288
51760,"Richmond city, Virginia",0.4980082713825388,0.46509019866541496,0.004556872098038718,0.03234465785400756
